tgl_panen_terakhir,tgl_panen,umur_tanaman,musim,suhu,jenis_tanah,jumlah_pemupukan,luas_lahan,jumlah_batang,hasil_panen
2023-01-15 00:00:00,2023-01-29 00:00:00,2,hujan,33.87609221046303,tanah liat,126.34791248087694,2.8667565448320587,344,2.20009813962165
2023-01-15 00:00:00,2023-01-30 00:00:00,2,hujan,34.194605797909816,lempung,134.01783645184415,7.410529425327736,889,12.30019030886445
2023-01-16 00:00:00,2023-01-29 00:00:00,18,kemarau,34.39408249846727,lempung,261.60596452155875,6.513459398279252,781,7.724167208304919
2023-01-14 00:00:00,2023-01-27 00:00:00,19,kemarau,20.671970443338626,tanah liat,211.97395413475613,2.7947948012654127,335,1.4009904629027639
2023-01-16 00:00:00,2023-01-29 00:00:00,15,hujan,20.63946269990644,lempung,298.7376647939393,4.278755474594577,513,7.931731475738413
2023-01-14 00:00:00,2023-01-27 00:00:00,9,kemarau,20.629840609043917,tanah berpasir,126.4663677975645,1.1482966818267681,137,0.8704023786569958
2023-01-15 00:00:00,2023-01-30 00:00:00,3,kemarau,32.28658238426894,tanah berpasir,121.59847441753588,2.3126891276871175,277,1.473996159906327
2023-01-15 00:00:00,2023-01-29 00:00:00,8,kemarau,33.87928720388962,tanah berpasir,148.5872871885587,3.6273701500053073,435,3.7810722449484895
2023-01-16 00:00:00,2023-01-31 00:00:00,4,hujan,30.343619380640746,tanah berpasir,133.85886447519462,5.639229337665971,676,9.060289712492752
2023-01-16 00:00:00,2023-01-29 00:00:00,8,kemarau,32.19296227359049,tanah liat,107.45795791691856,9.313799663628382,1117,5.739516444086723
2023-01-15 00:00:00,2023-01-30 00:00:00,23,kemarau,27.76577005168616,tanah berpasir,488.5395759997104,2.389983615413485,286,3.2992416944451883
2023-01-15 00:00:00,2023-01-30 00:00:00,17,hujan,30.152177757556395,tanah berpasir,253.08312649415097,1.5738716519408058,188,1.3921632738359178
2023-01-14 00:00:00,2023-01-29 00:00:00,8,kemarau,28.826401800136768,tanah berpasir,136.5861462922396,1.1769850199791696,141,1.2543056875242742
